Title,Description,Summary
La Chine envoie trois nouveaux astronautes sur sa station spatiale,Leur mission durera six mois et vise notamment à mener des expériences scientifiques.,Leur mission durera six mois et vise notamment à mener des expériences scientifiques.
Des robots inspirés des punaises d'eau capables de se déplacer à la surface de l'eau,Des chercheurs américains et coréens viennent de percer le secret qui permet aux punaises d'eau de courir sur l'eau. Une découverte qui leur a permis de concevoir de nouveaux robots.,Des chercheurs américains et coréens viennent de percer le secret qui permet aux punaises d'eau de courir sur l'eau. Une découverte qui leur a permis de concevoir de nouveaux robots.
"Origine interstellaire, observations inattendues, hypothèse extraterrestre... Pourquoi la comète 3I/ATLAS intrigue-t-elle autant ?","Ce corps céleste, découvert en juillet dernier, traverse actuellement notre système solaire. Ce n'est que la troisième fois qu'un objet interstellaire est observé.","Ce corps céleste, découvert en juillet dernier, traverse actuellement notre système solaire. Ce n'est que la troisième fois qu'un objet interstellaire est observé."
"La Cour pénale internationale abandonne Microsoft pour une solution européenne, après les tensions répétées avec l'administration Trump","Les États-Unis ont notamment annoncé, en août, de nouvelles sanctions contre l'institution basée à La Haye.","Les États-Unis ont notamment annoncé, en août, de nouvelles sanctions contre l'institution basée à La Haye."
"""Oui, nous sommes déjà allés sur la Lune six fois !"" : la Nasa répond à Kim Kardashian","Dans le dernier épisode de sa série ""Les Kardashian"", l'influenceuse a fait part de son scepticisme concernant l'exploit de la mission Apollo 11 de 1969, au cours de laquelle les astronautes américains Buzz Aldrin et Neil Armstrong ont fait les premiers pas sur la Lune.","Dans le dernier épisode de sa série ""Les Kardashian"", l'influenceuse a fait part de son scepticisme concernant l'exploit de la mission Apollo 11 de 1969, au cours de laquelle les astronautes américains Buzz Aldrin et Neil Armstrong ont fait les premiers pas sur la Lune."
"ENTRETIEN. ""Vous acceptez que quelqu'un espionne chez vous"" : quels risques soulève l’arrivée des robots humanoïdes domestiques ?","Le robot Neo a été présenté mardi dans une vidéo devenue virale, doit être commercialisé en 2026 aux Etats-Unis. Il est censé pouvoir effectuer tout un tas de corvées domestiques et apprendre de nouvelles tâches. Une révolution qui n'irait pas sans risques, selon Serena Ivaldi, directrice de recherche à l'Inria.","Le robot Neo a été présenté mardi dans une vidéo devenue virale, doit être commercialisé en 2026 aux Etats-Unis. Il est censé pouvoir effectuer tout un tas de corvées domestiques et apprendre de nouvelles tâches. Une révolution qui n'irait pas sans risques, selon Serena Ivaldi, directrice de recherche à l'Inria."
Budget 2026 : des scientifiques mettent en garde contre le dépôt d’amendements prévoyant une taxe sur les expérimentations animales,"Si ces amendements, portés notamment par le RN et la gauche, sont adoptés, utiliser une souris dans un laboratoire pourrait nécessiter de payer une taxe par animal.","Si ces amendements, portés notamment par le RN et la gauche, sont adoptés, utiliser une souris dans un laboratoire pourrait nécessiter de payer une taxe par animal."
"""On n’a pas réfléchi à comment rendre nos enfants complémentaires à l’IA"", estime Laurent Alexandre, auteur d'un ouvrage sur l'éducation à l'heure de l'intelligence artificielle","Laurent Alexandre, médecin et essayiste, auteur d'un ouvrage sur l'intelligence artificielle et l'éducation, était l’invité de ""Tout est politique"" ce mardi 28 octobre sur franceinfo. Aux côtés de Nathalie Saint-Cricq et Gilles Bornstein, il est revenu sur son livre ""Ne faites plus d’études"", coécrit avec Olivier Babeau. Ensemble, ils ont débattu de l’avenir de l’éducation à l’ère de l’intelligence artificielle, du rôle des universités face aux mutations technologiques et du défi de rendre les jeunes générations complémentaires à l’IA plutôt que remplacées par elle.","Laurent Alexandre, médecin et essayiste, auteur d'un ouvrage sur l'intelligence artificielle et l'éducation, était l’invité de ""Tout est politique"" ce mardi 28 octobre sur franceinfo. Aux côtés de Nathalie Saint-Cricq et Gilles Bornstein, il est revenu sur son livre ""Ne faites plus d’études"", coécrit avec Olivier Babeau. Ensemble, ils ont débattu de l’avenir de l’éducation à l’ère de l’intelligence artificielle, du rôle des universités face aux mutations technologiques et du défi de rendre les jeunes générations complémentaires à l’IA plutôt que remplacées par elle."
"""Sur la terre des dinosaures"", du grand spectacle sur ces géants qui fascinent toujours","Le documentaire ""Sur la terre des dinosaures : grandir à l’ombre des géants"", de Kirsty Wilson, sera diffusé à 21h10, mardi 28 octobre sur France 2. L'occasion de retrouver des tyrannosaures et des raptors plus vrais que nature lors d'un fabuleux voyage dans le temps, il y a 66 millions d’années.","Le documentaire ""Sur la terre des dinosaures : grandir à l’ombre des géants"", de Kirsty Wilson, sera diffusé à 21h10, mardi 28 octobre sur France 2. L'occasion de retrouver des tyrannosaures et des raptors plus vrais que nature lors d'un fabuleux voyage dans le temps, il y a 66 millions d’années."
"L'Inserm réussit à cartographier la circulation sanguine d'un organe entier, une première mondiale",Des chercheurs de l’Inserm ont mis au point une échographie 4D capable de visualiser en détail la micro-circulation sanguine d’un organe entier qui pourrait révolutionner le diagnostic des maladies des petits vaisseaux. Des tests cliniques chez une quarantaine de patients sont prévus en début d'année 2026.,Des chercheurs de l’Inserm ont mis au point une échographie 4D capable de visualiser en détail la micro-circulation sanguine d’un organe entier qui pourrait révolutionner le diagnostic des maladies des petits vaisseaux. Des tests cliniques chez une quarantaine de patients sont prévus en début d'année 2026.
